經營業者,聯絡人,產品類別,產品名稱,所在縣市,標章資訊,電話,EMAIL
富源畜牧場三場,韓家宇,畜牧,雞蛋,嘉義縣,產銷履歷,05-3416028,fishwei@ms.greatwall.com.tw
富統食品股份有限公司,黃美麗,畜牧,"富統大熱狗,富統培根,富統手切肉蒜味香腸,富統手切肉原味香腸,富統小熱狗,富統火鍋香腸,富統黑胡椒熱狗,富統蒜味熱狗,富統秀珍小香腸,富統日式維也納香腸,鐵板燒,黑胡椒帶骨肉排,醬燒大排,大阪城豬排,大阪城雞排,胡椒腿肉,三明治火腿,富統培根片,富統火腿,統一醬燒大排",屏東縣,CAS,08-7772747,
山水畜產開發股份有限公司,翁頂翔,畜牧,"蛋太郎,蛋太郎紅殼蛋,優鮮蛋,健康白殼蛋,健康紅殼蛋",屏東縣,CAS,08-7871888,
青欣牧場,嚴中平,畜牧,一般肉豬,苗栗縣,產銷履歷,037-222098,chinshing037@yahoo.com.tw
韋成牧場,林川義,畜牧,鴨蛋,屏東縣,產銷履歷,08-8681939,jo8681145@gmail.com
韋祥企業有限公司,林永原,畜牧,"辣味豬肉絲,珍味豬肉乾(碳烤蜜汁)",南投縣,CAS,049-2251837,
養樂多股份有限公司,松園明洋,畜牧,養樂多全脂鮮乳,桃園市,CAS,03-4529994,
香里食品企業股份有限公司,張敬國,畜牧,"冷藏豬肉,冷凍豬肉,香里中式香腸（原味）,香里中式香腸（紹興）,香里豬肉酥（原味）",南投縣,CAS,049-2259999,
香里食品企業股份有限公司,張敬國,畜牧,一般肉豬,南投縣,產銷履歷,049-2259999,shang.lee@msa.hinet.net
高大牧場,陳東杰,畜牧,牛乳,屏東縣,產銷履歷,08-7932086,ctjslr129@yahoo.com.tw
高大鮮乳,陳東杰,畜牧,牛乳,高雄市,產銷履歷,072352630,porscheturbo965@yahoo.com.tw
高津食品股份有限公司,李晏彰,畜牧,"培根,德式香腸,大熱狗,里肌火腿片,培根,德式香腸,大熱狗",屏東縣,CAS,08-7788368,
高登畜牧場,連錦樹,畜牧,一般肉豬,臺中市,產銷履歷,04-26879663,no@nomail.com
南投縣農產運銷股份有限公司,李朝卿,畜牧,一般肉豬,南投縣,產銷履歷,049-2734305,c0935679648@gmail.com
友宏有限公司,蘇武世,畜牧,"冷藏雞肉,冷凍雞肉,冷藏鴨肉,冷凍鴨肉,冷藏雞肉,冷凍雞肉",高雄市,CAS,07-6317135,
台全牧場,林名振,畜牧,一般肉豬,雲林縣,產銷履歷,05-6933540,ryanaction57@gmail.com
台全珍豬工業股份有限公司,林樹林,畜牧,冷凍豬肉,雲林縣,CAS,05-6935245,
台全珍豬工業股份有限公司,林樹林,畜牧,一般肉豬,雲林縣,產銷履歷,056932222,order@tachyuan.com
台南永發屠宰場,林威志,畜牧,土雞,臺南市,產銷履歷,06-2622033,poultry@ms.naif.org.tw
台灣卜蜂企業股份有限公司,鄭武樾,畜牧,"冷藏雞肉,冷凍雞肉,卜蜂快餐雞肉里肌排,卜蜂御品翅,卜蜂燒烤雞翅,卜蜂鹽酥雞,卜蜂大雞塊,香酥肉排,辣味香酥肉排,裹粉三節翅,脆皮雞排(原味),脆皮雞排(辣味),無骨香雞排,嗍嘴雞塊,原味香脆腿肉排,辣味香脆腿肉排,燒烤三節翅,香檸三節翅,卡啦雞翅,鹽酥雞丁,香酥蝴蝶腿,業務用雞塊,卜蜂3kg原味雞塊,快樂雞堡,快樂香脆棒,黑胡椒雞塊",南投縣,CAS,049-2255337,
台灣楓康超市股份有限公司,楊文彬,畜牧,"冷藏豬肉、冷凍豬肉,冷藏豬肉（黑毛豬）,冷藏雞肉",臺中市,CAS,04-26932000,
台灣糖業公司南靖畜殖場,張柏齡,畜牧,一般肉豬,嘉義縣,產銷履歷,05-2682153,hr4415@taisugar.com.tw
台灣糖業公司畜殖事業部四林畜牧場,楊居充,畜牧,一般肉豬,屏東縣,產銷履歷,08-7811187,hr7343@taisugar.com.tw
復進企業股份有限公司,黃美足,畜牧,"冷藏豬肉,冷凍豬肉",屏東縣,CAS,08-7783501～3,
復進企業股份有限公司,郭天財,畜牧,一般肉豬,屏東縣,產銷履歷,087783501,feu.jang@msa.hinet.net
思牧企業股份有限公司,李瑞德,畜牧,"冷藏豬肉,冷凍豬肉",屏東縣,CAS,08-7788368,
成發牧場,鄧家和,畜牧,一般肉豬,屏東縣,產銷履歷,08-7972071,chenfa.farm@msa.hinet.net
振聲冷凍食品股份有限公司,邱順天,畜牧,"冷藏雞肉【白色肉雞及有色肉雞（土雞）】,冷凍雞肉【白色肉雞及有色肉雞（土雞）】,冷藏鴨肉,冷凍鴨肉,煙燻鴨胸,煙燻鴨平,煙燻鴨腿,煙燻火腿,鴨肉串,煙燻黑胡椒鴨平,煙燻黑胡椒鴨胸,煙燻鴨肉",屏東縣,CAS,08-7933121,
新力香食品有限公司,鄭舒宜,畜牧,"寶寶專用肉酥(肉鬆)(原味),寶寶專用肉酥(肉鬆)(海藻),豬肉酥(肉鬆)(原味),海苔芝麻肉酥(肉鬆),無糖肉酥(肉鬆)(原味)",新北市,CAS,02-86743616,
新北市肉品市場,林溪水,畜牧,一般肉豬,新北市,產銷履歷,2689-2681,jmy52326@ms36.hinet.net
新合興牧場,邱惠貞,畜牧,一般肉豬,南投縣,產銷履歷,049-2568339,linsun@exceland.com.tw
新強畜牧場,江輝邦,畜牧,一般肉豬,花蓮縣,產銷履歷,03-8654128,no@mail.com
新東陽股份有限公司,麥寬成,畜牧,"新東陽原味香腸,新東陽黑豬辣味香腸,新東陽蒜味香腸,ＱＱ香腸(原味),ＱＱ香腸(蒜味),嚴選培根,法蘭克福熱狗,DHA三明治火腿,黑胡椒火腿,100％純肉德式香腸-原味,100％純肉德式香腸-黑胡椒,台灣黑豬肉原味香腸,台灣黑豬肉蒜味香腸,台灣黑豬肉高粱酒香腸,DHA原味香腸,DHA蒜味香腸,DHA特級蒜味香腸,黑豬肉鬆,黑豬海苔肉鬆,黑豬無糖肉鬆,豬肉鬆,海苔肉鬆,蜜汁豬肉乾,辣味豬肉乾",桃園市,CAS,03-3866317,
大武山蛋雞畜牧場,翁頂翔,畜牧,雞蛋,屏東縣,產銷履歷,08-787-1888#208,qa02@dawushan.com.tw
大毅蛋品有限公司,黃宗奇,畜牧,"冷藏殺菌全蛋液,冷藏殺菌蛋白液,冷藏殺菌蛋黃液,冷凍殺菌全蛋液",臺南市,CAS,06-2711896,
大永豐雞場,劉樹壁,畜牧,白肉雞,南投縣,產銷履歷,0423365750,alexchen@kingrichfoods.com
大潤發流通事業股份有限公司中和(景平)分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",新北市,CAS,(02)2943-6000,
大潤發流通事業股份有限公司中和分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",新北市,CAS,(02)8241-1111,
大潤發流通事業股份有限公司中壢分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",桃園市,CAS,(03)438-8288,
大潤發流通事業股份有限公司中崙分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",臺北市,CAS,02-27790006,
大潤發流通事業股份有限公司佳里分公司,梅思勰,畜牧,冷藏雞肉,臺南市,CAS,(06)723-3777,
大潤發流通事業股份有限公司內湖分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",臺北市,CAS,02-87925777,
大潤發流通事業股份有限公司八德分公司,梅思勰,畜牧,"冷藏雞肉,冷藏豬肉（黑毛豬及白毛豬)",桃園市,CAS,(03)371-1133,
元進莊企業股份有限公司,吳鋐源,畜牧,"冷藏光雞,冷藏全雞,冷凍光雞,冷凍全雞,冷藏全鴨,冷凍全鴨,冷藏全鵝,冷凍全鵝",雲林縣,CAS,05-7883803,
兄弟畜牧場,詹文欽,畜牧,一般肉豬,彰化縣,產銷履歷,04-8921743,no@nomail.com
光泉牧場股份有限公司嘉義廠,汪林祥,畜牧,光泉全脂鮮乳,嘉義縣,CAS,05-2219700,
光泉牧場股份有限公司大園廠,汪林祥,畜牧,光泉全脂鮮乳,桃園市,CAS,03-3865185,
八方行食品股份有限公司,陳德賢,畜牧,冷藏雞肉(白肉雞),桃園市,CAS,03-3869117,
凌張準畜牧場,唐龍勝,畜牧,土雞,高雄市,產銷履歷,0933-295868,showlan868@yahoo.com.tw
凱馨實業股份有限公司,鄧進得,畜牧,人蔘雞（土雞、烏骨雞）,雲林縣,CAS,05-5347888,
凱馨實業股份有限公司二廠,鄧進得,畜牧,"冷藏雞肉,冷凍雞肉,冷藏雞肉,冷凍雞肉",雲林縣,CAS,05-5347888,
勝贏屠宰場股份有限公司,林麗菁,畜牧,"冷藏雞肉(土雞),冷藏雞肉(白肉雞),冷凍雞肉(土雞),冷凍雞肉(白肉雞),冷藏雞肉(白肉雞),冷凍雞肉(白肉雞)",宜蘭縣,CAS,03-9387366,
勤億蛋品科技股份有限公司,古榮海,畜牧,"冷藏殺菌全蛋液,冷藏殺菌蛋白液,冷藏殺菌蛋黃液,冷凍殺菌全蛋液",嘉義市,CAS,05-2354516,
長生畜牧場,陳日長,畜牧,鴨蛋,屏東縣,產銷履歷,08-7071267,wade194790652@yahoo.com.tw
陳明暉畜牧場,陳明暉,畜牧,土雞,雲林縣,產銷履歷,0911-856602,leadray.co@msa.hinet.net
陳萬生牧場,陳萬生,畜牧,一般肉豬,雲林縣,產銷履歷,05-6932919,mouse9313@yahoo.com.tw
隆昌牧場,邱石崇,畜牧,"鮮力蛋,益力蛋,鮮力蛋",彰化縣,CAS,04-8870858,
隆昌牧場,邱石崇,畜牧,雞蛋,彰化縣,產銷履歷,04-8870858,stone206@ms35.hinet.net
隆豐牧場,張清源,畜牧,一般肉豬,臺南市,產銷履歷,06 5551001,lechesis@hotmail.com
雅勝冷凍食品股份有限公司,林惠美,畜牧,"冷藏豬肉,冷凍豬肉",桃園市,CAS,03-3241117,
雅勝冷凍食品股份有限公司,許欽松,畜牧,一般肉豬,新北市,產銷履歷,02-29880020,ks.ys@msa.hinet.net
雍元畜牧場,吳文元,畜牧,一般肉豬,彰化縣,產銷履歷,04-8863418,unio886@yahoo.com.tw
雲林縣肉品市場股份有限公司,蔡明水,畜牧,牛肉,雲林縣,產銷履歷,（05）6622763,mavis@tpe.hyweb.com.tw
中央畜牧場,蘇鵬,畜牧,一般肉豬,屏東縣,產銷履歷,(08)7213229,zhongxingfarm@gmail.com
中華民國農會台農鮮乳廠,蕭景田,畜牧,"台農全脂鮮乳,台農全脂鮮乳(強化鮮乳)",臺中市,CAS,04-23592035,
仁允牧場,林和仁,畜牧,一般肉豬,高雄市,產銷履歷,07-6513526,a0935494823@gmail.com
仁福牧場,許順榮,畜牧,雞蛋,高雄市,產銷履歷,07-3711612,E120312159@yahoo.com.tw
佳格食品股份有限公司,曹德風,畜牧,"得意的一天健康肉酥,得意的一天全家健康肉酥,得意的一天芝麻海苔肉酥,得意的一天寶寶肉酥香蔬配方",桃園市,CAS,03-3865130,
佳格食品股份有限公司中壢廠,曹德風,畜牧,"福樂北海道特極鮮乳(全脂),福樂北海道特極鮮乳(低脂),福樂一番鮮低脂鮮乳,福樂一番鮮特極鮮乳,福樂一番鮮優質鮮乳",桃園市,CAS,03-4525131,
佳縈畜牧場,謝文龍,畜牧,"幸福蛋,幸福紅蛋,益鮮蛋,優鮮蛋,健康白殼蛋,健康紅殼蛋",彰化縣,CAS,04-8883280,
佳縈畜牧場,謝文龍,畜牧,雞蛋,彰化縣,產銷履歷,04-8883280,mika44xx@yahoo.com.tw
來燕畜牧場,蔡樹來,畜牧,長青雞蛋,南投縣,CAS,049-2270829,
保億冷凍食品有限公司,蘇文旭,畜牧,"冷藏豬肉,冷凍豬肉,保億培根,保億香腸",屏東縣,CAS,08-7031616,
峰成畜牧場,賴平銂,畜牧,一般肉豬,臺中市,產銷履歷,04-23398455,fcpigs@yahoo.com.tw
峰榮食品工業股份有限公司,林秀梅,畜牧,"冷藏豬肉,冷凍豬肉,冷藏豬肉,冷凍豬肉",屏東縣,CAS,08-7537901,
峰榮食品工業股份有限公司,林秀梅,畜牧,一般肉豬,屏東縣,產銷履歷,08-7537901*4,fr.food@msa.hinet.net
廣南養雞牧場,黃崇傑,畜牧,雞蛋,臺南市,產銷履歷,06-5903698,givizeng@yahoo.com.tw
廣大利蛋品股份有限公司,陳自成,畜牧,"廣御松花溏心皮蛋,廣大利皮蛋松花溏心,廣大利松花溏心皮蛋",屏東縣,CAS,08-7391569,
廣大利蛋品股份有限公司,陳自成,畜牧,鴨蛋,屏東縣,產銷履歷,08-7522056,kindly.eggs@mas.hinet.net
弘昌牧場,鄧鴻超,畜牧,一般肉豬,屏東縣,產銷履歷,08-7972071,t7972071@ms74.hinet.net
張嘉濱畜牧場,張嘉濱,畜牧,土雞,嘉義縣,產銷履歷,0937-718270,leadray.co@msa.hinet.net
張天勇畜牧場(崎雞牧場),張天勇,畜牧,土雞,臺南市,產銷履歷,06-5947269,funsun.321g@gmail.com
張重興畜牧場,張重興,畜牧,一般肉豬,嘉義縣,產銷履歷,05-3752278,betty2278@yahoo.com.tw
台灣糖業公司畜殖事業部東海豐畜殖場,陳必顯,畜牧,一般肉豬,屏東縣,產銷履歷,08-7620745,hr7217@taisugar.com.tw
台灣糖業公司畜殖事業部萬興畜殖場,黃明春,畜牧,一般肉豬,彰化縣,產銷履歷,04-8682311,hr1441@taisugar.com.tw
台灣糖業畜殖事業部鹿草畜殖場,鄭炎星,畜牧,一般肉豬,嘉義縣,產銷履歷,05-3750205,hr4416@taisugar.com.tw
台灣糖業股份有限公司畜殖事業部,林世榮,畜牧,"冷凍豬肉,台糖安心豚原味香腸,海苔芝麻肉酥,台糖安心豚營養肉酥,肉酥,貢丸,貢丸（含香菇）,台糖安心豚蒜味香腸,台糖營養香腸,台糖安心豚鈣維康肉酥,台糖安心豚葵花油純肉酥,台糖安心豚薑黃肉酥,安心豚紅麴肉酥,台糖紅麴香腸,台糖安心豚黑胡椒香腸,台糖安心豚孜然香草香腸,台糖安心豚活力丸家貢丸,得意的一天健康肉酥,得意的一天全家健康肉酥,得意的一天芝麻海苔肉酥,得意的一天寶寶肉酥香蔬配方",臺南市,CAS,06-6225509,
台灣糖業股份有限公司畜殖事業部,蕭正茂,畜牧,一般肉豬,臺南市,產銷履歷,06-6223233-548,a03127@taisugar.com.tw
台灣糖業股份有限公司畜殖事業部-外埔畜殖場,賴春明,畜牧,一般肉豬,臺中市,產銷履歷,04-25570185,hr1215@taisugar.com.tw
台灣糖業股份有限公司畜殖事業部外埔月眉(二)畜殖場,李宗能,畜牧,一般肉豬,臺中市,產銷履歷,(04)25578072,hr1213@taisugar.com.tw
台灣農畜產工業股份有限公司,陳聖德,畜牧,"黑豬炭燒前腿,台畜蓬萊火腿,義大利蕃茄香腸,義大利煙燻香腸,黑豬尾瀨,黑豬牧風,德國黑森林優質火腿,燻烤前腿,帶骨德式香腸,萬巒豬腳,冷藏豬肉,冷凍豬肉,冷凍豬肉,培根,台式原味香腸,台式蒜味香腸,熟肉,冷藏豬肉,冷凍豬肉,台畜香腸,台畜羊腸香腸,台畜特製香腸,台畜蒜味香腸,台畜野戰香腸,台畜維也納香腸,台畜法蘭克香腸,台畜法蘭克福香腸,台畜燻里肌肉,台畜燻腿肉,台畜醬肘子,台畜福壽火腿,台畜胡椒里肌肉,台畜洋式赤肉火腿,台畜百壽火腿,台畜甲霸大熱狗,台畜親蜜腸,台畜三層煙肉,台畜黑胡椒腿肉,台畜蹄膀,黑胡椒香腸,本格燒,台畜肩胛煙肉,台畜維納斯紅椒腿肉,台畜培根低脂（重組肉）,美式厚切培根,台畜三明治火腿,背肌火腿,台畜原味肉酥,精選三明治火腿,台畜海苔肉酥,黑豬德式火鍋脆腸,台畜德式香腸",屏東縣,CAS,08-7520525,
台灣農畜產工業股份有限公司,張裕屏,畜牧,一般肉豬,屏東縣,產銷履歷,08-7520525,tsunhou@tham.com.tw
台糖公司岸內畜殖場,沈伯壎,畜牧,一般肉豬,嘉義縣,產銷履歷,05-342-1141,hr4414@tasugar.com.tw
嘉田一畜牧場,鄭瑞維,畜牧,一般肉豬,高雄市,產銷履歷,07-6367633,sp221187@yahoo.com.tw
四方乳品工業股份有限公司,葉彩連,畜牧,"全脂鮮乳,低脂鮮乳",苗栗縣,CAS,037-472609,
國忠種畜場,林國忠,畜牧,一般肉豬,彰化縣,產銷履歷,04-7787606,lin.yishuan@gmail.com
均珮畜牧場,黃榮裕,畜牧,白肉雞,雲林縣,產銷履歷,04-26361156,hcchou@fwusow.com.tw
大帝畜牧場,周清泰,畜牧,鴨蛋,屏東縣,產銷履歷,08-8662890,aileen@fsi-intl.com.tw
大得利家畜肉食品加工廠有限公司,林明輝,畜牧,"冷藏豬肉,冷凍豬肉",新北市,CAS,02-22066856,
大成長城股份有限公司柳營廠,韓家宇,畜牧,"冷藏雞肉,冷凍雞肉",臺南市,CAS,06-6224201,
大成長城集團關係企業美藍雷股份有限公司,莊坤炎,畜牧,"鄉美雞塊(香酥原味),鄉美雞塊(黑胡椒),鄉嫩雞塊(香酥原味),鄉嫩雞塊(黑胡椒),尚好雞塊(香酥原味),尚好雞塊(黑胡椒),大成優質雞塊(原味),大成優質雞塊(黑胡椒),大成原味炸雞、大成炸雞翅小腿、大成雞翅炸雞、大成棒腿炸雞,大成辣味炸雞,大成雞堡,鮮蔬雞塊(玉米),大成香酥雞胸堡肉,大成嫩汁雞腿酥（辣味）、辣味雞腿堡,原味嫩汁雞腿酥、原味雞腿堡,雞塊小不點,勁味鹽酥雞,小香雞排,大香雞排,調味雞丁,大成辣味雞堡,大成調味雞丁（原味）,大成調味雞丁（辣味）,優質嫩汁排,卡啦脆皮雞排（原味）,卡啦脆皮雞排（辣味）,香酥香雞排,檸檬雞柳條,黃金無骨雞排,全熟脆皮炸棒,全熟脆皮炸棒（辣味）,旋風雞塊,黃金蝶棒",臺南市,CAS,06-2025150,
大新養雞畜牧場,凃世宗,畜牧,"高力蛋,優鮮蛋",彰化縣,CAS,04-8882630,
大新養雞畜牧場,凃世宗,畜牧,雞蛋,彰化縣,產銷履歷,04-8885780,poultry@ms.naif.org.tw
保億冷凍食品有限公司,蘇文旭,畜牧,一般肉豬,屏東縣,產銷履歷,08-7031616,kings6888@yahoo.com.tw
保生種鴨畜牧場,周珠旺,畜牧,鴨蛋,屏東縣,產銷履歷,08-8662890,aileen@fsi-intl.com.tw
保證責任台灣省北台肉雞運銷合作社,簡瑞斌,畜牧,"冷藏雞肉（指白色肉雞）,冷凍雞肉,冷藏雞肉（指白色肉雞）,冷凍雞肉",桃園市,CAS,03-3835116,
保證責任台灣省嘉南羊乳運銷合作社,蕭竹旺,畜牧,嘉南鮮羊乳,嘉義縣,CAS,05-2377891,
保證責任雲林縣元長家禽生產合作社,吳政憲,畜牧,"醉雞(半隻),油雞翅,油雞(全隻),油雞腿,油雞胸,油雞胸翅,油雞(半隻),醉雞(全隻),醉雞腿,醉雞翅,醉雞胸,紹興醉雞腿",雲林縣,CAS,05-7883803,
信功實業股份有限公司,楊博元,畜牧,"冷藏豬肉,冷凍豬肉,信功培根（冷凍熟品）,信功培根（冷藏熟品）,信功法蘭克福香腸,小朋友熱狗,主題熱狗,法蘭克福香腸(黑胡椒),信功日式肉排,信功台式帶皮東坡肉（冷凍熟品）,信功東坡肉,煮豚,信功燒肉（冷凍熟品）,冷凍小貢丸,冷凍肉丸,蒜味香腸（冷藏、冷凍）,中式香腸（冷藏、冷凍）,冷藏火腿（塊肉）,冷凍火腿（塊肉）,漢堡肉,天然腸衣熱狗(煙燻黑胡椒、黑胡椒、唐辛子、洋香菜、檸檬),帶骨香腸(原味、黑胡椒、辣味),頂級豬肋排,燒烤肋排（冷凍熟品）,叉燒碳烤豬肉串（冷凍熟品）,醃漬豬肉串（冷藏、冷凍）,帶骨里肌排（冷藏、冷凍）,醃漬里肌排（冷藏、冷凍）,熟肉",屏東縣,CAS,08-7624567,
信功實業股份有限公司,楊博元,畜牧,一般肉豬,屏東縣,產銷履歷,08-7624567~9,sk7722@ms23.hinet.net
偉良畜牧場,蘇振義,畜牧,"金鮮蛋,鑫鮮蛋,力優蛋,源牧鮮蛋",嘉義縣,CAS,05-3427496,
偉良畜牧場,蘇振義,畜牧,雞蛋,嘉義縣,產銷履歷,05-3427496,zxcvb3427335@YAHOO.COM.TW
元榆畜牧場,陳寒榆(管理人員：陳立言),畜牧,土雞,高雄市,產銷履歷,+886928429607,zxcvbmw@gmail.com
味全食品股份有限公司高雄廠,李鳳翱,畜牧,"林鳳營高品質鮮乳,林鳳營低脂鮮乳,林鳳營脫脂高鈣鮮乳,味全全脂鮮乳,味全低脂鮮乳,摩斯鮮乳,85度C高品質鮮乳",高雄市,CAS,07- 6962453,
和榮意食品有限公司,郭凉,畜牧,"冷藏豬肉,冷凍豬肉",雲林縣,CAS,05-7983801,
和榮意食品有限公司,郭凉,畜牧,一般肉豬,雲林縣,產銷履歷,05-7983801-2,hry.chen@msa.hinet.net
和牧牧場,陳建良,畜牧,牛肉,屏東縣,產銷履歷,08-7072917,cjl@soon.tinghsin.com.tw
咏喜牧場,林仁喜,畜牧,雞蛋,雲林縣,產銷履歷,0932589569,csc4029@gmail.com
哲緯牧場,吳振興,畜牧,土雞,臺南市,產銷履歷,06-6529025,pig0415226@yahoo.com.tw
嘉一香食品股份有限公司屏東廠,陳國訓,畜牧,"冷凍豬肉,豬肉貢丸、特製豬肉貢丸,干貝貢丸,魚翅貢丸,香菇貢丸,熟肉,手工東坡肉,叉燒豬肉,煙燻豬肋排,鑫鑫腸、特製鑫鑫腸,德式香腸(原味),大熱狗、特製大熱狗,小熱狗,法蘭克福香腸,德式黑胡椒腸,維也納香腸,海苔肉酥,咖哩肉酥,海苔芝麻肉酥,櫻花蝦肉酥,黑胡椒肉酥,紅麴肉酥,純肉酥,豬肉乾,香燻肉絲條,豬肉條,肉角燒,辣味豬肉乾,三明治火腿,手工煙燻火腿,培根,冷凍豬肉：帶骨里肌豬排,純肉酥,櫻花蝦肉酥,海苔純肉酥,海苔芝麻純肉酥,豬肉絲,肉角燒,冷藏豬肉",屏東縣,CAS,08-8630863,
嘉一香食品股份有限公司屏東廠,陳嘉旭,畜牧,一般肉豬,屏東縣,產銷履歷,08-8630863,cis.foods@hinet.net
嘉一香食品股份有限公司樹林廠,陳國訓,畜牧,"冷藏豬肉,冷凍豬肉,中式原味香腸(冷凍),中式原味香腸(冷藏),臘肉,飛魚蛋香腸,紅麴香腸,黑胡椒豬排,原味豬排,蒜香豬排,蒜香梅花豬排,黑胡椒梅花豬排,黑胡椒肉絲",新北市,CAS,02-26894911,
